model_id,benchmark,source_a,source_b,score_a,score_b,delta,n_shot_a,n_shot_b,harness_a,harness_b,prompt_template_a,prompt_template_b
openai/gpt-3.5-turbo,MATH,papers_2403.04652,papers_2403.17297,0.14,0.28,-0.14,4,4,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2401.04088,papers_2501.00656,0.232,0.372,-0.14,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2408.00118,papers_2501.00656,0.232,0.372,-0.14,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
upstage/solar-pro-241126,Mean win rate,helm_lite,helm_mmlu,0.602,0.462,0.14,,,helm,helm,,
meta-llama/Llama-2-13b-hf,BBH,hfopenllm_v2,papers_2210.11416,0.4126,0.552,-0.1394,3,unknown,lighteval,unknown,lighteval/bbh,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2401.04088,papers_2405.19327,0.232,0.0931,0.1389,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2405.19327,papers_2408.00118,0.0931,0.232,-0.1389,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2402.16819,papers_2402.19173,0.287,0.149,0.138,8,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
Qwen/Qwen1.5-110B,BBH,hfopenllm_v2,papers_2407.10671,0.61,0.748,-0.138,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2401.04088,papers_2412.15115,0.5,0.362,0.138,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.17297,papers_2406.11704,0.64,0.7775,-0.1375,5,5,opencompass,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2306.05685,papers_2505.09388,0.661,0.5236,0.1374,unknown,4,fastchat,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2306.05685,papers_2412.15115,0.661,0.5236,0.1374,unknown,4,fastchat,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2405.19327,papers_2406.11704,0.6404,0.7775,-0.1371,5,5,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,MBPP,papers_2408.00118,papers_2411.04905,0.302,0.165,0.137,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,GSM8K,papers_2312.15166,papers_2401.04088,0.6073,0.744,-0.1367,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2401.04088,papers_2407.14885,0.549,0.4123,0.1367,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,AGIEval,papers_2403.17297,papers_2501.00656,0.279,0.415,-0.136,unknown,unknown,opencompass,lm-evaluation-harness,,
mistralai/mistral-large-2402,Mean win rate,helm_lite,helm_mmlu,0.328,0.464,-0.136,,,helm,helm,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.06550,papers_2406.11704,0.6416,0.7775,-0.1359,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2406.11704,papers_2412.15115,0.7775,0.642,0.1355,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2406.11704,papers_2407.10671,0.7775,0.642,0.1355,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-0.5B,GPQA,papers_2412.15115,papers_2505.09388,0.248,0.113,0.135,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,TruthfulQA,papers_2312.15166,papers_2407.10671,0.6458,0.511,0.1348,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2402.16819,papers_2405.19327,0.494,0.3593,0.1347,25,25,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-0.5B,GPQA,hfopenllm_v2,papers_2505.09388,0.2466,0.113,0.1336,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
openai/gpt-3.5-turbo,MATH,papers_2403.17297,papers_2501.00656,0.28,0.412,-0.132,4,4,opencompass,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2306.05685,papers_2406.12793,0.661,0.529,0.132,unknown,4,fastchat,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MBPP,papers_2402.19173,papers_2405.04324,0.426,0.294,0.132,unknown,unknown,bigcode-evaluation-harness,lm-evaluation-harness,,
openai/GPT-Neo-2.7B,HellaSwag,papers_2309.05463,papers_2312.00752,0.427,0.558,-0.131,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2406.11704,papers_2505.09388,0.795,0.666,0.129,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2406.11704,papers_2407.10671,0.795,0.666,0.129,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,WinoGrande,papers_2303.08774,papers_2403.17297,0.816,0.687,0.129,unknown,unknown,openai_evals,opencompass,,
openai/gpt-3.5-turbo,WinoGrande,papers_2403.04652,papers_2403.17297,0.816,0.687,0.129,5,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2402.16819,0.177,0.306,-0.129,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
EleutherAI/Pythia-6.9B,ARC-Challenge,papers_2312.00752,papers_2405.19327,0.355,0.2271,0.1279,25,25,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,MBPP,papers_2407.10671,papers_2411.04905,0.292,0.165,0.127,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
google/Gemma2-9B,MBPP,papers_2412.15115,papers_2505.09388,0.622,0.749,-0.127,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2310.06825,papers_2402.16819,0.16,0.287,-0.127,8,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2403.04652,papers_2406.12793,0.402,0.529,-0.127,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2405.04324,0.177,0.304,-0.127,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2401.04088,papers_2402.16819,0.16,0.287,-0.127,8,8,lm-evaluation-harness,lm-evaluation-harness,,
google/Gemma-3-1B,MMLU,papers_2501.00656,papers_2505.09388,0.389,0.2626,0.1264,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2407.10671,papers_2408.00118,0.666,0.792,-0.126,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2408.00118,papers_2505.09388,0.792,0.666,0.126,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2310.06825,papers_2408.00118,0.522,0.396,0.126,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2407.10671,papers_2408.00118,0.522,0.396,0.126,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,BBH,hfopenllm_v2,papers_2403.17297,0.4419,0.567,-0.1251,3,3,lighteval,opencompass,lighteval/bbh,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2402.16819,papers_2403.17297,0.287,0.162,0.125,8,8,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2402.16819,papers_2405.19327,0.287,0.1622,0.1248,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-0.5B,BBH,hfopenllm_v2,papers_2412.15115,0.3275,0.203,0.1245,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
Qwen/Qwen2.5-0.5B,BBH,hfopenllm_v2,papers_2505.09388,0.3275,0.203,0.1245,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2401.04088,papers_2405.19327,0.175,0.0507,0.1243,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,BBH,hfopenllm_v2,papers_2210.11416,0.4598,0.584,-0.1242,3,unknown,lighteval,unknown,lighteval/bbh,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2405.04324,papers_2405.19327,0.038,0.1622,-0.1242,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2403.17297,papers_2405.04324,0.162,0.038,0.124,8,8,opencompass,lm-evaluation-harness,,
meta-llama/LLaMA-7B,TruthfulQA,papers_2306.05685,papers_2312.06550,0.22,0.3434,-0.1234,0,0,fastchat,lm-evaluation-harness,,
tiiuae/falcon-7b,HellaSwag,papers_2404.05892,papers_2407.14885,0.764,0.6408,0.1232,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2312.06550,papers_2412.15115,0.3878,0.511,-0.1232,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2312.06550,papers_2407.10671,0.3878,0.511,-0.1232,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,NaturalQuestions,papers_2310.06825,papers_2401.04088,0.29,0.167,0.123,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
facebook/OPT-1.3B,HellaSwag,papers_2309.05463,papers_2312.00752,0.415,0.537,-0.122,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2310.06825,papers_2403.08295,0.305,0.183,0.122,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2402.16819,papers_2402.19173,0.183,0.305,-0.122,0,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2310.06825,papers_2405.04324,0.16,0.038,0.122,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2402.16819,papers_2403.08295,0.305,0.183,0.122,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2401.04088,papers_2405.04324,0.16,0.038,0.122,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2312.15166,papers_2407.10671,0.4003,0.522,-0.1217,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2310.06825,papers_2312.15166,0.522,0.4003,0.1217,8,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2403.04652,papers_2412.15115,0.402,0.5236,-0.1216,4,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2403.04652,papers_2505.09388,0.402,0.5236,-0.1216,4,4,lm-evaluation-harness,lm-evaluation-harness,,
facebook/OPT-1.3B,HellaSwag,papers_2309.05463,papers_2401.02385,0.415,0.5365,-0.1215,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2407.10671,papers_2501.00656,0.522,0.401,0.121,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2310.06825,papers_2501.00656,0.522,0.401,0.121,8,8,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,MBPP,papers_2402.16819,papers_2411.04905,0.444,0.323,0.121,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,BBH,hfopenllm_v2,papers_2412.15115,0.4419,0.561,-0.1191,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
mistralai/Mistral-7B-v0.1,BBH,hfopenllm_v2,papers_2407.10671,0.4419,0.561,-0.1191,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2403.08295,papers_2406.11704,0.728,0.847,-0.119,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,GSM8K,papers_2401.04088,papers_2407.10671,0.744,0.625,0.119,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2403.08295,papers_2405.19327,0.039,0.1574,-0.1184,4,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/open-mistral-nemo-2407,Mean win rate,helm_lite,helm_mmlu,0.333,0.215,0.118,,,helm,helm,,
meta-llama/Meta-Llama-3-8B,BBH,hfopenllm_v2,papers_2407.10671,0.4598,0.577,-0.1172,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Meta-Llama-3-8B,BBH,hfopenllm_v2,papers_2505.09388,0.4598,0.577,-0.1172,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
Qwen/Qwen2-1.5B,MMLU,papers_2407.10671,papers_2409.12122,0.565,0.448,0.117,5,5,lm-evaluation-harness,lm-evaluation-harness,,
google/Gemma2-27B,MATH,papers_2412.15115,papers_2505.09388,0.427,0.544,-0.117,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,TriviaQA,papers_2310.06825,papers_2501.00656,0.696,0.813,-0.117,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2302.13971,papers_2405.19327,0.476,0.3593,0.1167,25,25,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-0.5B,IFEval,hfopenllm_v2,papers_2505.09388,0.1627,0.279,-0.1163,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2.5-0.5B,IFEval,hfopenllm_v2,papers_2412.15115,0.1627,0.279,-0.1163,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-1.5B,GSM8K,papers_2409.12122,papers_2412.15115,0.585,0.469,0.116,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,GSM8K,papers_2407.10671,papers_2412.15115,0.585,0.469,0.116,8,8,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,MATH,papers_2403.08295,papers_2407.10671,0.127,0.243,-0.116,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2405.19327,papers_2412.15115,0.7153,0.6,0.1153,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2405.19327,papers_2407.10671,0.7153,0.6,0.1153,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-7B,MBPP,papers_2412.15115,papers_2505.09388,0.749,0.634,0.115,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,BBH,hfopenllm_v2,papers_2402.16819,0.4362,0.551,-0.1148,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
google/gemma-7b,BBH,hfopenllm_v2,papers_2407.10671,0.4362,0.551,-0.1148,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
Qwen/Qwen1.5-7B,IFEval,hfopenllm_v2,papers_2407.10671,0.2684,0.383,-0.1146,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
mistralai/Mistral-7B-v0.1,MBPP,papers_2312.06550,papers_2401.04088,0.3878,0.502,-0.1142,3,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2403.08295,papers_2501.00656,0.287,0.401,-0.114,11,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,WinoGrande,papers_2302.13971,papers_2303.08774,0.702,0.816,-0.114,5,unknown,lm-evaluation-harness,openai_evals,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2405.19327,0.177,0.291,-0.114,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TriviaQA,papers_2403.17297,papers_2501.00656,0.689,0.803,-0.114,unknown,unknown,opencompass,lm-evaluation-harness,,
openai/gpt-3.5-turbo,WinoGrande,papers_2302.13971,papers_2403.04652,0.702,0.816,-0.114,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,TriviaQA,papers_2310.06825,papers_2405.19327,0.638,0.5244,0.1136,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2312.15166,papers_2403.08295,0.4003,0.287,0.1133,8,11,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2403.17297,papers_2412.15115,0.475,0.362,0.113,8,8,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2401.04088,papers_2403.17297,0.175,0.288,-0.113,unknown,unknown,lm-evaluation-harness,opencompass,,
google/Gemma-3-1B,BBH,papers_2501.00656,papers_2505.09388,0.394,0.2813,0.1127,3,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2405.19327,papers_2412.15115,0.4746,0.362,0.1126,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.16609,papers_2405.19327,0.356,0.468,-0.112,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.16609,papers_2403.17297,0.356,0.468,-0.112,5,5,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2403.08295,papers_2408.00118,0.494,0.605,-0.111,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2403.17297,0.177,0.288,-0.111,unknown,3,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2402.19173,papers_2405.04324,0.149,0.038,0.111,unknown,8,bigcode-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,MMLU,papers_2409.12122,papers_2412.15115,0.448,0.559,-0.111,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,MBPP,papers_2407.10671,papers_2412.15115,0.22,0.331,-0.111,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2405.19327,papers_2408.00118,0.7153,0.605,0.1103,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2312.06550,papers_2402.16819,0.438,0.548,-0.11,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,HumanEval,papers_2407.10671,papers_2505.09388,0.311,0.421,-0.11,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,HumanEval,papers_2403.08295,papers_2407.10671,0.262,0.372,-0.11,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,HumanEval,papers_2403.08295,papers_2412.15115,0.262,0.372,-0.11,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2403.08295,papers_2407.10671,0.183,0.293,-0.11,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,HumanEval,papers_2408.00118,papers_2411.04905,0.201,0.311,-0.11,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2403.08295,papers_2412.15115,0.183,0.293,-0.11,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2302.13971,papers_2402.19173,0.365,0.474,-0.109,unknown,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
Qwen/Qwen2.5-32B,MBPP,papers_2412.15115,papers_2505.09388,0.845,0.736,0.109,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2403.08295,papers_2408.00118,0.287,0.396,-0.109,11,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-1.5B,GPQA,hfopenllm_v2,papers_2505.09388,0.2852,0.1764,0.1088,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2312.06550,papers_2403.08295,0.2912,0.183,0.1082,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-57B-A14B,BBH,hfopenllm_v2,papers_2407.10671,0.5618,0.67,-0.1082,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/CodeLlama-7B-Instruct,LiveCodeBench,papers_2409.12186,papers_2411.04905,0.444,0.336,0.108,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2403.08295,papers_2405.04324,0.146,0.038,0.108,11,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.05463,papers_2405.04324,0.146,0.038,0.108,unknown,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2309.16609,papers_2409.12122,0.919,0.811,0.108,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TriviaQA,papers_2403.08295,papers_2403.17297,0.796,0.689,0.107,unknown,unknown,lm-evaluation-harness,opencompass,,
mistralai/mixtral-8x22b,Mean win rate,helm_lite,helm_mmlu,0.705,0.598,0.107,,,helm,helm,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2403.08295,papers_2407.10671,0.494,0.6,-0.106,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2403.08295,papers_2412.15115,0.494,0.6,-0.106,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen1.5-1.8B,BBH,hfopenllm_v2,papers_2407.10671,0.3476,0.242,0.1056,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Llama-2-7b-hf,MBPP,papers_2312.06550,papers_2402.16819,0.2009,0.306,-0.1051,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2401.04088,papers_2406.11704,0.742,0.847,-0.105,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2302.13971,papers_2310.06825,0.365,0.261,0.104,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2406.12793,0.425,0.529,-0.104,unknown,4,unknown,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2302.13971,papers_2401.04088,0.365,0.261,0.104,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2401.04088,papers_2402.16819,0.444,0.548,-0.104,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2401.04088,papers_2408.00118,0.5,0.396,0.104,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2310.06825,papers_2402.16819,0.444,0.548,-0.104,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TriviaQA,papers_2310.06825,papers_2501.00656,0.699,0.803,-0.104,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2312.06550,papers_2405.04324,0.2009,0.304,-0.1031,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-Turbo,GPQA,papers_2412.15115,papers_2505.09388,0.414,0.3119,0.1021,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,BBH,papers_2407.10671,papers_2412.15115,0.284,0.182,0.102,3,3,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-3B,BBH,hfopenllm_v2,papers_2505.09388,0.4612,0.563,-0.1018,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
Qwen/Qwen2.5-3B,BBH,hfopenllm_v2,papers_2412.15115,0.4612,0.563,-0.1018,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
deepseek-ai/deepseek-llm-67b-chat,Mean win rate,helm_lite,helm_mmlu,0.488,0.387,0.101,,,helm,helm,,
Qwen/Qwen2.5-7B,GPQA,papers_2412.15115,papers_2505.09388,0.364,0.2634,0.1006,0,0,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,HellaSwag,papers_2307.09288,papers_2407.14885,0.741,0.6408,0.1002,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,GPQA,hfopenllm_v2,papers_2505.09388,0.3054,0.2054,0.1,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
openai/gpt-3.5-turbo-0613,Mean win rate,helm_instruct,helm_mmlu,0.689,0.589,0.1,,,helm,helm,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2403.08295,papers_2405.19327,0.459,0.3593,0.0997,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2312.15166,papers_2401.04088,0.4003,0.5,-0.0997,8,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2407.10671,papers_2409.12122,0.7116,0.811,-0.0994,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2401.04088,papers_2501.00656,0.5,0.401,0.099,8,8,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,HellaSwag,papers_2309.05463,papers_2407.14885,0.542,0.6408,-0.0988,10,10,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2412.15115,0.425,0.5236,-0.0986,unknown,4,unknown,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2505.09388,0.425,0.5236,-0.0986,unknown,4,unknown,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2402.16819,papers_2403.08295,0.306,0.208,0.098,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-1.5B,BBH,papers_2502.02737,papers_2505.09388,0.353,0.451,-0.098,3,3,lm-evaluation-harness,lm-evaluation-harness,,
google/PaLM,ARC-Easy,papers_2302.13971,papers_2305.10403,0.752,0.85,-0.098,unknown,unknown,lm-evaluation-harness,unknown,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.05463,papers_2402.16819,0.208,0.306,-0.098,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-1.5B,BBH,papers_2412.15115,papers_2502.02737,0.451,0.353,0.098,3,3,lm-evaluation-harness,lm-evaluation-harness,,
